,beta_rolling_63j
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,
2021-03-31,0.012123775111277525
2021-04-01,0.006054003173202561
2021-04-06,0.018234012834635573
2021-04-07,0.042174144855056814
2021-04-08,0.05470690664799724
2021-04-09,0.0492557471844898
2021-04-12,0.030127817876236054
2021-04-13,0.03414893627026698
2021-04-14,0.03640789485972888
2021-04-15,0.03946858743798489
2021-04-16,0.04731984384109325
2021-04-19,0.04458626401498558
2021-04-20,0.0487828826614956
2021-04-21,0.04651558144546709
2021-04-22,0.05992652272822247
2021-04-23,0.06020991992578755
2021-04-26,0.05588116186630521
2021-04-27,0.055662781923759
2021-04-28,0.05342184290991639
2021-04-29,0.055583795813796216
2021-04-30,0.05144771271280385
2021-05-03,0.0776529016564429
2021-05-04,0.08120777853184093
2021-05-05,0.07853793167916283
2021-05-06,0.07581900852315057
2021-05-07,0.07868768405988423
2021-05-10,0.08518939330061864
2021-05-11,0.11049140415961853
2021-05-12,0.10606351144781008
2021-05-13,0.1031686109432973
2021-05-14,0.09545683669687298
2021-05-17,0.09579170665136304
2021-05-18,0.09855412152434152
2021-05-19,0.07577512194349108
2021-05-20,0.035954388781342314
2021-05-21,0.0618502341058773
2021-05-24,0.09344147299909478
2021-05-25,0.09903465812242657
2021-05-26,0.10417072212427624
2021-05-27,0.11723851417158039
2021-05-28,0.08935673939260362
2021-05-31,0.1445199260105928
2021-06-01,0.1434751816046152
2021-06-02,0.13898802118226353
2021-06-03,0.12040377816324281
2021-06-04,0.10307052686670343
2021-06-07,0.16045803626488253
2021-06-08,0.16173238476603477
2021-06-09,0.16227588845279045
2021-06-10,0.18291555992699848
2021-06-11,0.18046419787574627
2021-06-14,0.18265988666310218
2021-06-15,0.17557260044653275
2021-06-16,0.17436102180800128
2021-06-17,0.2187163671240413
2021-06-18,0.2509116676900524
2021-06-21,0.25628077065781857
2021-06-22,0.25329297265455264
2021-06-23,0.24954850627315894
2021-06-24,0.26021463281328977
2021-06-25,0.3025288729981547
2021-06-28,0.307051530705397
2021-06-29,0.3964391361941619
2021-06-30,0.4029629857773748
2021-07-01,0.3919628569737196
2021-07-02,0.4873981719999672
2021-07-05,0.31179522784742353
2021-07-06,0.3592949042654267
2021-07-07,0.39093287351396083
2021-07-08,0.3235376122814809
2021-07-09,0.2840249713897081
2021-07-12,0.27334370710522155
2021-07-13,0.2141367151891441
2021-07-14,0.21614444689802495
2021-07-15,0.2204237312219859
2021-07-16,0.14991361382905086
2021-07-19,0.19276076918216126
2021-07-20,0.04133670402162079
2021-07-21,0.058656245244977014
2021-07-22,0.07738971923471723
2021-07-23,0.047857988632775184
2021-07-26,0.039441562855630274
2021-07-27,0.06020983724294501
2021-07-28,0.06217881614819805
2021-07-29,0.064652696291852
2021-07-30,0.07343186726402932
2021-08-02,0.033821573020825585
2021-08-03,0.015562978277688074
2021-08-04,-0.011133313017904111
2021-08-05,0.002431097481726713
2021-08-06,0.004858529923510419
2021-08-09,0.05654821675771915
2021-08-10,0.043879134420332686
2021-08-11,0.06837094860219617
2021-08-12,0.11405346529383706
2021-08-13,0.11670556953867058
2021-08-16,0.07652680794942261
2021-08-17,0.06445919136284857
2021-08-18,0.03898995464208048
2021-08-19,0.021259099026097284
2021-08-20,-0.0006900986921218528
2021-08-23,-0.00046238196486349226
2021-08-24,-0.019873749418489236
2021-08-25,0.014537479543833264
2021-08-26,0.05853128903590295
2021-08-27,0.08288143546473278
2021-08-30,0.0888068485555142
2021-08-31,0.09160884217126104
2021-09-01,0.09554633992545433
2021-09-02,0.08801715488992227
