,valeur
vol_portfolio_ann,0.050497314560402504
ret_ann_portfolio,0.023317054690377814
sharpe_portfolio,0.46174840966022174
max_drawdown,-0.13122489120643377
alpha_portfolio_ann,0.01873222012248732
beta_portfolio,0.7474020508986831
vol_core_ann,0.06641089141359806
ret_ann_core,0.005523908575683523
sharpe_core,0.0831777507891193
vol_satellite_ann,0.03662843676156484
ret_ann_satellite,0.07739820265142394
alpha_satellite_ann,0.07810128547455641
beta_satellite_static,0.0022877413033602027
beta_sat_rolling_mean,0.016311414300148513
beta_sat_rolling_std,0.13806424533014616
corr_core_satellite,0.0041478958075350635
w_core,0.75
w_sat,0.25
fees_core_contrib_bps,17.25
fees_sat_wavg_bps,99.0
fees_sat_contrib_bps,24.75
fees_total_bps,42.0
fees_ok,1.0
