,w_core_effectif,w_sat_effectif,scale
2012-01-31,0.8796826006642693,0.3770068288561154,1.2566894295203848
2012-02-29,0.8275661483741503,0.3546712064460644,1.1822373548202147
2012-03-31,0.8316715041637709,0.3564306446416161,1.1881021488053871
2012-04-30,0.8345074436239787,0.35764604726741944,1.1921534908913982
2012-05-31,0.8893794737661608,0.3811626316140689,1.2705421053802297
2012-06-30,0.8609710212267583,0.3689875805257536,1.229958601752512
2012-07-31,0.8619529185762435,0.3694083936755329,1.2313613122517764
2012-08-31,0.8736094080081266,0.3744040320034828,1.2480134400116094
2012-09-30,0.8825253958786832,0.3782251696622928,1.260750565540976
2012-10-31,1.065665172130737,0.45671364519888735,1.5223788173296247
2012-11-30,1.0892677068578038,0.4668290172247731,1.5560967240825772
2012-12-31,1.0891569321332724,0.46678154234283104,1.5559384744761036
2013-01-31,1.246939018496621,0.5344024364985518,1.7813414549951727
2013-02-28,1.4,0.6,2.0
2013-03-31,1.4,0.6,2.0
2013-04-30,1.4,0.6,2.0
2013-05-31,1.4,0.6,2.0
2013-06-30,1.4,0.6,2.0
2013-07-31,1.1734408054122172,0.5029032023195217,1.6763440077317389
2013-08-31,1.0519313379359303,0.45082771625825585,1.5027590541941862
2013-09-30,1.0889925851928306,0.46671110793978454,1.5557036931326151
2013-10-31,1.1442064610727944,0.49037419760262624,1.6345806586754208
2013-11-30,1.1252203796065747,0.4822373055456749,1.6074576851522497
2013-12-31,1.1124449783648525,0.47676213358493674,1.5892071119497893
2014-01-31,1.1038391253441815,0.4730739108617921,1.5769130362059738
2014-02-28,1.0785673698465688,0.4622431585056723,1.540810528352241
2014-03-31,0.9846252678720772,0.4219822576594617,1.406607525531539
2014-04-30,0.9884274660406873,0.4236117711602946,1.412039237200982
2014-05-31,1.0073139428629914,0.43170597551271056,1.439019918375702
2014-06-30,1.0345948328965164,0.4433977855270785,1.477992618423595
2014-07-31,1.3320950876145203,0.5708978946919373,1.9029929823064577
2014-08-31,1.4,0.6,2.0
2014-09-30,1.4,0.6,2.0
2014-10-31,1.4,0.6,2.0
2014-11-30,1.4,0.6,2.0
2014-12-31,1.4,0.6,2.0
2015-01-31,1.4,0.6,2.0
2015-02-28,1.4,0.6,2.0
2015-03-31,1.4,0.6,2.0
2015-04-30,1.4,0.6,2.0
2015-05-31,1.4,0.6,2.0
2015-06-30,1.4,0.6,2.0
2015-07-31,1.4,0.6,2.0
2015-08-31,1.4,0.6,2.0
2015-09-30,1.4,0.6,2.0
2015-10-31,1.4,0.6,2.0
2015-11-30,1.4,0.6,2.0
2015-12-31,1.4,0.6,2.0
2016-01-31,1.4,0.6,2.0
2016-02-29,1.4,0.6,2.0
2016-03-31,1.309286128504979,0.5611226265021338,1.870408755007113
2016-04-30,1.302189105084299,0.5580810450361282,1.8602701501204275
2016-05-31,1.2724152832123259,0.5453208356624254,1.8177361188747514
2016-06-30,1.2246928675056377,0.5248683717881304,1.749561239293768
2016-07-31,1.0026023544078695,0.4296867233176584,1.432289077725528
2016-08-31,1.0643398523705463,0.4561456510159484,1.5204855033864948
2016-09-30,1.0343668917107598,0.4433000964474685,1.4776669881582283
