,AEABSIA ID Equity
2019-01-03,
2019-01-04,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-05,
2019-02-06,
2019-02-07,
2019-02-08,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-30,
2019-05-03,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-28,
2019-05-29,
2019-05-30,
2019-05-31,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-24,
2019-12-31,
2020-01-03,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-31,
2020-04-01,
2020-04-02,-0.01389129327684145
2020-04-03,-0.01361072329450679
2020-04-07,-0.01484907257048213
2020-04-08,-0.014852904799188207
2020-04-09,-0.013439022420509487
2020-04-15,-0.014666045002559842
2020-04-16,-0.014709362489539381
2020-04-17,-0.014339128107769732
2020-04-21,-0.015461004414271425
2020-04-22,-0.016166123278938176
2020-04-23,-0.015441189600069304
2020-04-24,-0.015299392379154567
2020-04-28,-0.015325691514048065
2020-04-29,-0.014201294387824246
2020-04-30,-0.014276649910865136
2020-05-05,-0.013479299495697069
2020-05-06,-0.013801356353462933
2020-05-07,-0.013862942593796024
2020-05-08,-0.013849282115691726
2020-05-12,-0.013904767074378438
2020-05-13,-0.015408540446807754
2020-05-14,-0.015329992967162193
2020-05-15,-0.015234914609160368
2020-05-19,-0.015307418488994326
2020-05-20,-0.015252904459447316
2020-05-21,-0.01536592951298119
2020-05-22,-0.01546855692634744
2020-05-26,-0.015479555582980599
2020-05-27,-0.015480539932463308
2020-05-28,-0.014897845210800828
2020-05-29,-0.015208541066195904
2020-06-02,-0.014731139146070311
2020-06-03,-0.014563776024578668
2020-06-04,-0.014461339723736663
2020-06-05,-0.013153007990873752
2020-06-09,-0.013645469592166136
2020-06-10,-0.01394726546164287
2020-06-11,-0.014712025609514179
2020-06-12,-0.014696221243874642
2020-06-16,-0.015093378564669453
2020-06-17,-0.015058572530259336
2020-06-18,-0.015111181444880507
2020-06-19,-0.015150129842597742
