,date,quarter_date,regime,bloc,Strat,ticker,weight_ticker
0,2021-02-01,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
1,2021-02-01,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
2,2021-02-01,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
3,2021-02-01,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
4,2021-02-01,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
5,2021-02-01,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
6,2021-02-02,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
7,2021-02-02,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
8,2021-02-02,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
9,2021-02-02,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
10,2021-02-02,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
11,2021-02-02,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
12,2021-02-03,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
13,2021-02-03,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
14,2021-02-03,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
15,2021-02-03,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
16,2021-02-03,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
17,2021-02-03,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
18,2021-02-04,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
19,2021-02-04,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
20,2021-02-04,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
21,2021-02-04,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
22,2021-02-04,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
23,2021-02-04,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
24,2021-02-05,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
25,2021-02-05,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
26,2021-02-05,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
27,2021-02-05,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
28,2021-02-05,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
29,2021-02-05,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
30,2021-02-08,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
31,2021-02-08,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
32,2021-02-08,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
33,2021-02-08,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
34,2021-02-08,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
35,2021-02-08,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
36,2021-02-09,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
37,2021-02-09,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
38,2021-02-09,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
39,2021-02-09,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
40,2021-02-09,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
41,2021-02-09,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
42,2021-02-10,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
43,2021-02-10,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
44,2021-02-10,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
45,2021-02-10,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
46,2021-02-10,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
47,2021-02-10,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
48,2021-02-11,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
49,2021-02-11,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
50,2021-02-11,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
51,2021-02-11,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
52,2021-02-11,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
53,2021-02-11,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
54,2021-02-12,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
55,2021-02-12,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
56,2021-02-12,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
57,2021-02-12,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
58,2021-02-12,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
59,2021-02-12,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
60,2021-02-15,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
61,2021-02-15,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
62,2021-02-15,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
63,2021-02-15,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
64,2021-02-15,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
65,2021-02-15,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
66,2021-02-16,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
67,2021-02-16,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
68,2021-02-16,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
69,2021-02-16,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
70,2021-02-16,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
71,2021-02-16,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
72,2021-02-17,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
73,2021-02-17,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
74,2021-02-17,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
75,2021-02-17,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
76,2021-02-17,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
77,2021-02-17,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
78,2021-02-18,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
79,2021-02-18,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
80,2021-02-18,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
81,2021-02-18,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
82,2021-02-18,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
83,2021-02-18,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
84,2021-02-19,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
85,2021-02-19,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
86,2021-02-19,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
87,2021-02-19,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
88,2021-02-19,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
89,2021-02-19,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
90,2021-02-22,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
91,2021-02-22,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
92,2021-02-22,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
93,2021-02-22,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
94,2021-02-22,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
95,2021-02-22,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
96,2021-02-23,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
97,2021-02-23,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
98,2021-02-23,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
99,2021-02-23,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
100,2021-02-23,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
101,2021-02-23,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
102,2021-02-24,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
103,2021-02-24,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
104,2021-02-24,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
105,2021-02-24,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
106,2021-02-24,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
107,2021-02-24,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
108,2021-02-25,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
109,2021-02-25,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
110,2021-02-25,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
111,2021-02-25,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
112,2021-02-25,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
113,2021-02-25,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
114,2021-02-26,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
115,2021-02-26,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
116,2021-02-26,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
117,2021-02-26,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
118,2021-02-26,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
119,2021-02-26,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
120,2021-03-01,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
121,2021-03-01,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
122,2021-03-01,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
123,2021-03-01,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
124,2021-03-01,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
125,2021-03-02,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
126,2021-03-02,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
127,2021-03-02,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
128,2021-03-02,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
129,2021-03-02,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
130,2021-03-03,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
131,2021-03-03,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
132,2021-03-03,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
133,2021-03-03,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
134,2021-03-03,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
135,2021-03-04,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
136,2021-03-04,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
137,2021-03-04,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
138,2021-03-04,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
139,2021-03-04,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
140,2021-03-05,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.075
141,2021-03-05,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.075
142,2021-03-05,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
143,2021-03-05,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.25
144,2021-03-05,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.25
145,2021-03-08,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
146,2021-03-08,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
147,2021-03-08,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
148,2021-03-08,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
149,2021-03-08,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
150,2021-03-09,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
151,2021-03-09,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
152,2021-03-09,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
153,2021-03-09,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
154,2021-03-09,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
155,2021-03-10,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
156,2021-03-10,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
157,2021-03-10,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
158,2021-03-10,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
159,2021-03-10,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
160,2021-03-11,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
161,2021-03-11,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
162,2021-03-11,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
163,2021-03-11,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
164,2021-03-11,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
165,2021-03-12,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
166,2021-03-12,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
167,2021-03-12,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
168,2021-03-12,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
169,2021-03-12,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
170,2021-03-15,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
171,2021-03-15,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
172,2021-03-15,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
173,2021-03-15,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
174,2021-03-15,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
175,2021-03-16,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
176,2021-03-16,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
177,2021-03-16,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
178,2021-03-16,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
179,2021-03-16,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
180,2021-03-17,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
181,2021-03-17,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
182,2021-03-17,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
183,2021-03-17,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
184,2021-03-17,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
185,2021-03-18,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
186,2021-03-18,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
187,2021-03-18,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
188,2021-03-18,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
189,2021-03-18,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
190,2021-03-19,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
191,2021-03-19,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
192,2021-03-19,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
193,2021-03-19,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
194,2021-03-19,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
195,2021-03-22,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
196,2021-03-22,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
197,2021-03-22,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
198,2021-03-22,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
199,2021-03-22,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
200,2021-03-23,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
201,2021-03-23,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
202,2021-03-23,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
203,2021-03-23,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.15
204,2021-03-23,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.15
205,2021-03-24,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.15
206,2021-03-24,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.15
