quarter_date,strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date,switch_flag,switch_reason,ter_pct,ter_dec,nom,label
2021-04-01,STRAT1,LYEGTIE ID Equity,1,1.1522072304562456,top1,,0.0,2021-04-01,1,init,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2021-04-01,STRAT1,UIATHNA GR Equity,2,0.9906797160553522,top2_diversified,-0.09030038840719355,0.1615275144008934,2021-04-01,1,init,1.23,0.0123,ATHENA UI,ATHENA UI
2021-04-01,STRAT2,RPARIE1 ID Equity,1,1.3900816212740073,top1,,0.0,2021-04-01,1,init,0.0,0.0,INRIS PARUS-I EUR HEDGED,INRIS PARUS-I EUR HEDGED
2021-04-01,STRAT2,UGEEIBA ID Equity,2,0.9876852231932888,top2_diversified,-0.013328479487382854,0.4023963980807185,2021-04-01,1,init,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2021-04-01,STRAT3,NUMCAII ID Equity,1,1.6529915270847035,top1,,0.0,2021-04-01,1,init,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2021-04-01,STRAT3,XAD6 GR Equity,2,1.5589824481862569,top2_diversified,-0.07133423158037078,0.09400907889844667,2021-04-01,1,init,0.4,0.004,X PHYSICAL SILVER ETC EUR,X PHYSICAL SILVER ETC EUR
2021-07-01,STRAT1,LYEGTIE ID Equity,1,1.1695146978252764,top1,,0.0,2021-04-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2021-07-01,STRAT1,UIATHNA GR Equity,2,0.9858520714973242,top2_diversified,-0.08792675052402533,0.18366262632795216,2021-04-01,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2021-07-01,STRAT2,RPARIE1 ID Equity,1,1.515046320693471,top1,,0.0,2021-04-01,0,same_ticker,0.0,0.0,INRIS PARUS-I EUR HEDGED,INRIS PARUS-I EUR HEDGED
2021-07-01,STRAT2,UGEEIBA ID Equity,2,0.8658753805591434,top2_diversified,-0.025280549464717087,0.6491709401343276,2021-04-01,0,same_ticker,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2021-07-01,STRAT3,XAD6 GR Equity,1,2.0412244899629477,top1,,0.0,2021-04-01,1,better_score,0.4,0.004,X PHYSICAL SILVER ETC EUR,X PHYSICAL SILVER ETC EUR
2021-07-01,STRAT3,NUMCAII ID Equity,2,1.9195547855260846,top2_diversified,-0.07349193972062079,0.12166970443686309,2021-04-01,1,better_score,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2021-10-01,STRAT1,LYEGTIE ID Equity,1,1.1369322891444371,top1,,0.0,2021-04-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2021-10-01,STRAT1,UIATHNA GR Equity,2,0.9890075885878937,top2_diversified,-0.1312461901796593,0.1479247005565434,2021-04-01,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2021-10-01,STRAT2,RPARIE1 ID Equity,1,1.49766013439572,top1,,0.0,2021-04-01,0,same_ticker,0.0,0.0,INRIS PARUS-I EUR HEDGED,INRIS PARUS-I EUR HEDGED
2021-10-01,STRAT2,UGEEIBA ID Equity,2,0.9420954409750081,top2_diversified,-0.03181546053844865,0.555564693420712,2021-04-01,0,same_ticker,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2021-10-01,STRAT3,NUMCAII ID Equity,1,2.808998838282205,top1,,0.0,2021-04-01,1,better_score,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2021-10-01,STRAT3,00XL GR Equity,2,1.8042149337101407,top2_diversified,-0.03780658617650405,1.0047839045720641,2021-04-01,1,deduplicate,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2022-01-03,STRAT1,LYEGTIE ID Equity,1,1.1132180119542898,top1,,0.0,2021-04-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2022-01-03,STRAT1,UIATHNA GR Equity,2,0.9851365466846289,top2_diversified,-0.09573465245013149,0.1280814652696609,2021-04-01,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2022-01-03,STRAT2,RPARIE1 ID Equity,1,1.420223559290386,top1,,0.0,2021-04-01,0,same_ticker,0.0,0.0,INRIS PARUS-I EUR HEDGED,INRIS PARUS-I EUR HEDGED
2022-01-03,STRAT2,UGEEIBA ID Equity,2,0.7951232830551335,top2_diversified,-0.015531872374693612,0.6251002762352525,2021-04-01,0,same_ticker,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2022-01-03,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,same_ticker,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2022-01-03,STRAT3,00XL GR Equity,2,1.9123026689414402,top2_diversified,0.011520743022446442,0.6208803080455205,2021-04-01,0,same_ticker,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2022-04-01,STRAT1,LYEGTIE ID Equity,1,1.1132180119542898,top1,,0.0,2021-04-01,0,hold_buffer,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2022-04-01,STRAT1,UIATHNA GR Equity,2,0.9851365466846289,top2_diversified,-0.09573465245013149,0.1280814652696609,2021-04-01,0,hold_buffer,1.23,0.0123,ATHENA UI,ATHENA UI
2022-04-01,STRAT2,OEFOAAE ID Equity,1,2.3417265196896726,top1,,0.0,2022-04-01,1,better_score,2.02,0.0202,OAK EMERG AND FRNT OPP-A,OAK EMERG AND FRNT OPP-A
2022-04-01,STRAT2,UGEEIBA ID Equity,2,0.7951232830551335,top2_diversified,-0.015531872374693612,0.6251002762352525,2021-04-01,0,hold_buffer,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2022-04-01,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2022-07-01,STRAT1,LYEGTIE ID Equity,1,1.1132180119542898,top1,,0.0,2021-04-01,0,hold_buffer,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2022-07-01,STRAT1,UIATHNA GR Equity,2,0.9851365466846289,top2_diversified,-0.09573465245013149,0.1280814652696609,2021-04-01,0,hold_buffer,1.23,0.0123,ATHENA UI,ATHENA UI
2022-07-01,STRAT2,OEFOAAE ID Equity,1,2.3417265196896726,top1,,0.0,2022-04-01,0,hold_buffer,2.02,0.0202,OAK EMERG AND FRNT OPP-A,OAK EMERG AND FRNT OPP-A
2022-07-01,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2022-07-01,STRAT3,00XL GR Equity,2,1.9123026689414402,top2_diversified,0.011520743022446442,0.6208803080455205,2021-04-01,0,hold_buffer,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2022-10-03,STRAT1,LYEGTIE ID Equity,1,1.1132180119542898,top1,,0.0,2021-04-01,0,hold_buffer,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2022-10-03,STRAT1,UIATHNA GR Equity,2,0.9851365466846289,top2_diversified,-0.09573465245013149,0.1280814652696609,2021-04-01,0,hold_buffer,1.23,0.0123,ATHENA UI,ATHENA UI
2022-10-03,STRAT2,OEFOAAE ID Equity,1,1.3586912802370839,top1,,0.0,2022-04-01,0,same_ticker,2.02,0.0202,OAK EMERG AND FRNT OPP-A,OAK EMERG AND FRNT OPP-A
2022-10-03,STRAT2,RPARIE1 ID Equity,2,1.246749630173793,top2_diversified,0.07176186906357761,0.11194165006329082,2022-04-01,1,better_score,0.0,0.0,INRIS PARUS-I EUR HEDGED,INRIS PARUS-I EUR HEDGED
2022-10-03,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2022-10-03,STRAT3,00XL GR Equity,2,1.9123026689414402,top2_diversified,0.011520743022446442,0.6208803080455205,2021-04-01,0,hold_buffer,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2023-01-02,STRAT1,LYEGTIE ID Equity,1,1.1132180119542898,top1,,0.0,2021-04-01,0,hold_buffer,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2023-01-02,STRAT1,UIATHNA GR Equity,2,0.9851365466846289,top2_diversified,-0.09573465245013149,0.1280814652696609,2021-04-01,0,hold_buffer,1.23,0.0123,ATHENA UI,ATHENA UI
2023-01-02,STRAT2,OEFOAAE ID Equity,1,1.3586912802370839,top1,,0.0,2022-04-01,0,hold_buffer,2.02,0.0202,OAK EMERG AND FRNT OPP-A,OAK EMERG AND FRNT OPP-A
2023-01-02,STRAT2,RPARIE1 ID Equity,2,1.246749630173793,top2_diversified,0.07176186906357761,0.11194165006329082,2022-04-01,0,hold_buffer,0.0,0.0,INRIS PARUS-I EUR HEDGED,INRIS PARUS-I EUR HEDGED
2023-01-02,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2023-01-02,STRAT3,00XL GR Equity,2,1.9123026689414402,top2_diversified,0.011520743022446442,0.6208803080455205,2021-04-01,0,hold_buffer,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2023-04-03,STRAT1,ASRATH2 LX Equity,1,1.591282912920002,top1,,0.0,2023-04-03,1,better_score,1.6,0.016,ALLIANZ STRUCT RT-AT14EUR,ALLIANZ STRUCT RT-AT14EUR
2023-04-03,STRAT1,UIATHNA GR Equity,2,1.046317905226991,top2_diversified,0.026422505293534234,0.5449650076930108,2023-04-03,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2023-04-03,STRAT2,LGSSA3E ID Equity,1,2.6163609337785108,top1,,0.0,2023-04-03,1,better_score,0.21,0.0021,LITRUST GF EU STR EQ-A3INACE,LITRUST GF EU STR EQ-A3INACE
2023-04-03,STRAT2,RPARIE1 ID Equity,2,1.246749630173793,top2_diversified,0.07176186906357761,0.11194165006329082,2022-04-01,0,hold_buffer,0.0,0.0,INRIS PARUS-I EUR HEDGED,INRIS PARUS-I EUR HEDGED
2023-04-03,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2023-04-03,STRAT3,00XL GR Equity,2,1.9123026689414402,top2_diversified,0.011520743022446442,0.6208803080455205,2021-04-01,0,hold_buffer,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2023-07-03,STRAT1,ASRATH2 LX Equity,1,1.5920802560504526,top1,,0.0,2023-04-03,0,same_ticker,1.6,0.016,ALLIANZ STRUCT RT-AT14EUR,ALLIANZ STRUCT RT-AT14EUR
2023-07-03,STRAT1,UIATHNA GR Equity,2,1.026187274394407,top2_diversified,0.022674261437846236,0.5658929816560456,2023-04-03,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2023-07-03,STRAT2,LGSSA3E ID Equity,1,2.632350624601344,top1,,0.0,2023-04-03,0,same_ticker,0.21,0.0021,LITRUST GF EU STR EQ-A3INACE,LITRUST GF EU STR EQ-A3INACE
2023-07-03,STRAT2,UGEEIBA ID Equity,2,1.7692428659957156,top2_diversified,0.08673192169460744,0.8631077586056286,2023-04-03,1,better_score,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2023-07-03,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2023-07-03,STRAT3,00XL GR Equity,2,1.9123026689414402,top2_diversified,0.011520743022446442,0.6208803080455205,2021-04-01,0,hold_buffer,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2023-10-02,STRAT1,ASRATH2 LX Equity,1,1.589660062261284,top1,,0.0,2023-04-03,0,same_ticker,1.6,0.016,ALLIANZ STRUCT RT-AT14EUR,ALLIANZ STRUCT RT-AT14EUR
2023-10-02,STRAT1,UIATHNA GR Equity,2,0.9647712628523245,top2_diversified,0.1019453573415182,0.6248887994089595,2023-04-03,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
