quarter,ter_wavg_bps,n_fonds_actifs
2021Q1,128.8,6
2021Q1,137.5,5
2021Q2,124.7,7
2021Q2,119.9,6
2021Q2,119.9,6
2021Q3,115.4,8
2021Q3,113.1,8
2021Q3,109.2,6
2021Q4,109.9,6
2021Q4,109.9,6
2021Q4,109.9,6
2022Q1,87.6,12
2022Q1,77.5,8
2022Q1,74.3,6
2022Q2,71.0,7
2022Q2,69.4,6
2022Q2,69.4,6
2022Q3,61.2,6
2022Q3,57.6,6
2022Q3,57.6,6
2022Q4,64.1,6
2022Q4,63.0,6
2022Q4,57.6,6
2023Q1,83.1,13
2023Q1,96.2,8
2023Q1,96.7,6
2023Q2,97.2,8
2023Q2,95.5,7
2023Q2,70.1,5
2023Q3,95.2,6
2023Q3,97.8,6
2023Q3,106.8,5
2023Q4,96.0,8
2023Q4,86.8,6
2023Q4,93.8,5
2024Q1,98.1,12
2024Q1,114.8,8
2024Q1,119.6,6
2024Q2,115.5,9
2024Q2,113.2,7
2024Q2,115.8,6
2024Q3,108.2,8
2024Q3,108.4,7
2024Q3,104.1,6
2024Q4,102.8,7
2024Q4,102.1,6
2024Q4,102.2,6
2025Q1,97.8,10
2025Q1,92.3,7
2025Q1,91.3,6
2025Q2,93.5,6
2025Q2,93.5,6
2025Q2,93.5,6
2025Q3,90.5,8
2025Q3,89.7,7
2025Q3,90.4,6
2025Q4,91.0,6
2025Q4,91.0,6
2025Q4,91.0,6
